,run_id,N,p,k,num_edges,edge_list,num_solutions_m,compiler_success,error_message,compilation_time,time_xag_optimize,time_xag_synthesis,time_parity_decomp,time_linear_resynth,oracle_num_qubits,oracle_depth,oracle_size,oracle_cx_count,oracle_1q_count
42,43,3,0.6,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,1.5825543403625488,0.0007822513580322266,4.673004150390625e-05,9.775161743164062e-06,1.7404556274414062e-05,4,8,10,5,5
43,44,3,0.6,2,1,"[0, 0, 0, 0, 0, 1, 0, 1, 0]",1,True,None,1.023418664932251,0.00045228004455566406,1.811981201171875e-05,4.76837158203125e-06,3.337860107421875e-06,5,12,19,4,15
44,45,3,0.6,2,2,"[0, 1, 1, 1, 0, 0, 1, 0, 0]",2,True,None,1.1484181880950928,0.0004229545593261719,1.811981201171875e-05,5.0067901611328125e-06,7.867813110351562e-06,4,5,7,2,5
45,46,3,0.6,2,2,"[0, 1, 1, 1, 0, 0, 1, 0, 0]",2,True,None,0.9973828792572021,0.0004165172576904297,1.6450881958007812e-05,5.0067901611328125e-06,7.867813110351562e-06,4,5,7,2,5
46,47,3,0.6,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,1.014908790588379,0.0004508495330810547,1.9788742065429688e-05,4.76837158203125e-06,9.059906005859375e-06,4,8,10,5,5
47,48,3,0.6,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,0.7438266277313232,0.0003936290740966797,1.5735626220703125e-05,3.0994415283203125e-06,2.384185791015625e-06,4,4,4,0,4
48,49,3,0.6,2,2,"[0, 1, 0, 1, 0, 1, 0, 1, 0]",2,True,None,1.058913230895996,0.00041294097900390625,1.7404556274414062e-05,5.0067901611328125e-06,6.9141387939453125e-06,4,5,7,2,5
49,50,3,0.6,2,1,"[0, 0, 1, 0, 0, 0, 1, 0, 0]",1,True,None,0.8814396858215332,0.00041031837463378906,1.8835067749023438e-05,5.0067901611328125e-06,2.86102294921875e-06,5,11,17,4,13
50,51,3,0.7,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,0.8924362659454346,0.0004189014434814453,2.1219253540039062e-05,4.76837158203125e-06,8.344650268554688e-06,4,8,10,5,5
51,52,3,0.7,2,1,"[0, 0, 1, 0, 0, 0, 1, 0, 0]",1,True,None,0.6660077571868896,0.00042557716369628906,1.8596649169921875e-05,5.4836273193359375e-06,3.337860107421875e-06,5,11,17,4,13
52,53,3,0.7,2,2,"[0, 0, 1, 0, 0, 1, 1, 1, 0]",2,True,None,2.1038310527801514,0.0011909008026123047,4.744529724121094e-05,1.1444091796875e-05,1.811981201171875e-05,4,5,7,2,5
53,54,3,0.7,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,0.8522891998291016,0.00046515464782714844,2.1696090698242188e-05,4.5299530029296875e-06,8.821487426757812e-06,4,8,10,5,5
54,55,3,0.7,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,1.1994104385375977,0.0004532337188720703,1.9788742065429688e-05,4.76837158203125e-06,9.059906005859375e-06,4,8,10,5,5
55,56,3,0.7,2,2,"[0, 0, 1, 0, 0, 1, 1, 1, 0]",2,True,None,0.7451469898223877,0.0004477500915527344,1.8358230590820312e-05,5.0067901611328125e-06,1.0251998901367188e-05,4,5,7,2,5
56,57,3,0.7,2,1,"[0, 0, 1, 0, 0, 0, 1, 0, 0]",1,True,None,1.1592488288879395,0.0004315376281738281,1.8835067749023438e-05,4.76837158203125e-06,3.0994415283203125e-06,5,11,17,4,13
57,58,3,0.7,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,0.6859855651855469,0.0004661083221435547,1.8835067749023438e-05,5.0067901611328125e-06,8.821487426757812e-06,4,8,10,5,5
58,59,3,0.7,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,1.0300202369689941,0.0004260540008544922,1.9073486328125e-05,4.76837158203125e-06,7.867813110351562e-06,4,8,10,5,5
59,60,3,0.7,2,1,"[0, 1, 0, 1, 0, 0, 0, 0, 0]",1,True,None,0.65859055519104,0.0004391670227050781,1.811981201171875e-05,4.76837158203125e-06,2.86102294921875e-06,5,11,17,4,13
60,61,3,0.8,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,1.0631155967712402,0.0004410743713378906,1.8835067749023438e-05,5.4836273193359375e-06,7.867813110351562e-06,4,8,10,5,5
61,62,3,0.8,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,1.116570234298706,0.0004837512969970703,1.8358230590820312e-05,5.245208740234375e-06,8.821487426757812e-06,4,8,10,5,5
62,63,3,0.8,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,1.1560113430023193,0.00043201446533203125,1.811981201171875e-05,4.76837158203125e-06,7.867813110351562e-06,4,8,10,5,5
63,64,3,0.8,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,0.6791033744812012,0.00043964385986328125,1.811981201171875e-05,5.245208740234375e-06,7.867813110351562e-06,4,8,10,5,5
64,65,3,0.8,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,1.0689496994018555,0.00045680999755859375,1.9550323486328125e-05,5.4836273193359375e-06,8.344650268554688e-06,4,8,10,5,5
65,66,3,0.8,2,1,"[0, 0, 1, 0, 0, 0, 1, 0, 0]",1,True,None,1.1302742958068848,0.0004405975341796875,1.8596649169921875e-05,4.5299530029296875e-06,3.0994415283203125e-06,5,11,17,4,13
66,67,3,0.8,2,2,"[0, 0, 1, 0, 0, 1, 1, 1, 0]",2,True,None,1.0458970069885254,0.00043463706970214844,1.8835067749023438e-05,5.0067901611328125e-06,7.867813110351562e-06,4,5,7,2,5
67,68,3,0.8,2,2,"[0, 1, 1, 1, 0, 0, 1, 0, 0]",2,True,None,1.0706090927124023,0.0004525184631347656,2.1457672119140625e-05,5.245208740234375e-06,8.106231689453125e-06,4,5,7,2,5
68,69,3,0.8,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,0.7005889415740967,0.0004515647888183594,1.9073486328125e-05,5.0067901611328125e-06,8.344650268554688e-06,4,8,10,5,5
69,70,3,0.8,2,2,"[0, 1, 1, 1, 0, 0, 1, 0, 0]",2,True,None,1.2049238681793213,0.0003981590270996094,1.6927719116210938e-05,5.0067901611328125e-06,7.3909759521484375e-06,4,5,7,2,5
70,71,3,0.9,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,0.9053311347961426,0.00042510032653808594,1.8835067749023438e-05,5.0067901611328125e-06,8.58306884765625e-06,4,8,10,5,5
