,run_id,N,p,k,num_edges,edge_list,num_solutions_m,compiler_success,error_message,compilation_time,time_xag_optimize,time_xag_synthesis,time_parity_decomp,time_linear_resynth,oracle_num_qubits,oracle_depth,oracle_size,oracle_cx_count,oracle_1q_count
80,81,4,0.2,2,2,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0]",2,True,None,1.3955328464508057,0.002504110336303711,2.193450927734375e-05,5.7220458984375e-06,7.3909759521484375e-06,6,12,21,6,15
81,82,4,0.2,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.1685521602630615,0.002691507339477539,2.6702880859375e-05,5.9604644775390625e-06,1.4781951904296875e-05,13,60,145,48,97
82,83,4,0.2,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.2524220943450928,0.0028083324432373047,2.765655517578125e-05,6.198883056640625e-06,1.4781951904296875e-05,13,60,145,48,97
83,84,4,0.2,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.598426103591919,0.002832651138305664,2.956390380859375e-05,6.9141387939453125e-06,1.4781951904296875e-05,13,60,145,48,97
84,85,4,0.2,2,2,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0]",2,True,None,1.555403709411621,0.0019779205322265625,1.9788742065429688e-05,5.9604644775390625e-06,1.1205673217773438e-05,6,21,27,14,13
85,86,4,0.2,2,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1,True,None,1.3899991512298584,0.0019729137420654297,1.9550323486328125e-05,4.5299530029296875e-06,3.337860107421875e-06,7,13,33,8,25
86,87,4,0.2,2,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1,True,None,1.8202807903289795,0.0032367706298828125,2.09808349609375e-05,4.76837158203125e-06,3.0994415283203125e-06,7,13,33,8,25
87,88,4,0.2,2,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",1,True,None,1.430546760559082,0.002040863037109375,2.1219253540039062e-05,5.0067901611328125e-06,3.337860107421875e-06,7,12,33,8,25
88,89,4,0.2,2,3,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0]",3,True,None,1.8214271068572998,0.00211334228515625,2.1696090698242188e-05,5.9604644775390625e-06,9.775161743164062e-06,7,25,41,12,29
89,90,4,0.2,2,1,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,True,None,1.618281602859497,0.0019440650939941406,2.0265579223632812e-05,4.76837158203125e-06,3.0994415283203125e-06,7,13,33,8,25
90,91,4,0.3,2,2,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0]",2,True,None,1.4824292659759521,0.001997709274291992,2.5033950805664062e-05,6.67572021484375e-06,1.1682510375976562e-05,6,21,27,14,13
91,92,4,0.3,2,3,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",3,True,None,1.8529772758483887,0.0019750595092773438,1.9311904907226562e-05,5.7220458984375e-06,9.298324584960938e-06,7,24,37,12,25
92,93,4,0.3,2,4,"[0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0]",5,True,None,1.2129576206207275,0.0013854503631591797,2.2411346435546875e-05,5.245208740234375e-06,1.2874603271484375e-05,7,40,50,25,25
93,94,4,0.3,2,2,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0]",2,True,None,1.4164319038391113,0.0026199817657470703,2.5033950805664062e-05,5.7220458984375e-06,7.62939453125e-06,6,12,21,6,15
94,95,4,0.3,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.544724464416504,0.002870798110961914,2.9087066650390625e-05,7.152557373046875e-06,1.5020370483398438e-05,13,60,145,48,97
